,,,,,,,,,,
FACE POWDER,,,,,,,,,,
202307,,,,,,,,,,
対象メーカー,対象製品,容量,ECプラットフォーム,年月,店舗タイプ,店舗名,金額規模（元）,販売量規模（個数）,取引個数単価（元/1本あたり）,最低取引個数単価（元/1本あたり）
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,皮卡邱买买买,8718.0,26,335.3076923076923,328.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,炮哥萬事屋,8296.0,17,488.0,488.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,H带你买买买,8162.0,28,291.5,299.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,crystal海外全球购,7475.0,25,299.0,299.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,小陆宝藏店  原小陆专业代购,6624.0,23,288.0,288.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,肤浅生活,6624.0,23,288.0,288.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,每天九点上新,6600.0,24,275.0,275.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,马先生代购店,6394.0,23,278.0,278.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,东京小店日代,5968.0,13,459.0769230769231,440.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,全球购官方店,5681.0,19,299.0,299.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,荣妈美妆店,5440.0,20,272.0,272.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,艾美馆正品商城,5432.0,14,388.0,388.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,欢欢的日本代购店,5220.0,9,580.0,580.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,next流星 花园,5040.0,15,336.0,336.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,小吨俄罗斯潮购店,4900.0,18,272.22222222222223,270.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,是你的兔兔呀,4710.0,18,261.6666666666667,263.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,玲珑美妆韩免精选,4485.0,15,299.0,299.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,懵Q小姐姐,4335.0,15,289.0,289.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,吉吉日代直邮,3535.0,7,505.0,505.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,小崩的护肤美妆店,3420.0,12,285.0,285.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,yiyi顾gu一一 joanna1019,3388.0,11,308.0,308.0
DECORTE,ULTIMUNE,50ml,Taobao,2023-07-01,C2C,哆啦侠晴天,3336.0,12,278.0,278.0
DECORTE,ULTIMUNE,50ml,Tmall,2023-07-01,FSS,SHISEIDO资生堂官方旗舰店,3343080.0,5914,565.2823807913426,380.0
DECORTE,ULTIMUNE,50ml,合计,2023-07-01,合计,合计,4711830.1,10110,466.0563897131552,388.0
,,,,,,,,,,
,,,,,,,,,,
